string,doc_id,word_loc,string_length,number_words,before_'s,contains_'s,before_after_said,position_or_title_before,post_name_after,two_capitals,capital_before,capital_after,contains_first_name,first_name_before,first_name_after,contains_last_name,last_name_before,last_name_after,common_proper_noun,contains_nba_teamcity,contains_nba_person,contains_partial_nba_person,partial_nba_person_before,partial_nba_person_after,label
Markkanen,009.,89,9,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0
Minnesota,009.,91,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Jimmy,009.,97,5,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0
Jimmy Butler,009.,97,12,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
Butler,009.,98,6,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0
Timberwolves,009.,101,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Orlando,010.,0,7,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0
Orlando Magic,010.,0,13,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Magic,010.,1,5,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0
Aaron,010.,3,5,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0
Aaron Gordon,010.,3,12,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
Gordon,010.,4,6,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0
Saturday,010.,11,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
Washington,010.,14,10,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0
Washington Wizards,010.,14,18,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
Wizards,010.,15,7,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0
Gordon,010.,26,6,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1
It,010.,37,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Friday,010.,40,6,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0
Slam,010.,50,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Slam Dunk,010.,50,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dunk,010.,51,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Friday,010.,68,6,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
Marreese,010.,82,8,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0
Marreese Speights,010.,82,17,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1
Speights,010.,83,8,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0
Gordon,010.,88,6,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
Wednesday,010.,90,11,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
Lakers,010.,94,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Wesley,010.,99,6,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0
Wesley Iwundu,010.,99,13,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1
Iwundu,010.,100,6,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0
Saturday,010.,108,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Golden,012.,0,6,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0
Golden State,012.,0,12,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0
State,012.,1,5,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0
Patrick,012.,3,7,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0
Patrick McCaw,012.,3,13,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
McCaw,012.,4,5,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0
McCaw,012.,23,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Monday,012.,33,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Phoenix,012.,37,7,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
McCaw,012.,60,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Warriors,012.,67,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Warriors,012.,89,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
January,012.,92,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
Golden,012.,94,6,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0
Golden State,012.,94,12,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0
State,012.,95,5,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0
Steve,012.,97,5,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0
Steve Kerr,012.,97,10,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1
Kerr,012.,98,4,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0
G,012.,106,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
G League,012.,106,8,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
League,012.,107,6,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Santa,012.,119,5,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
Santa Cruz,012.,119,10,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Santa Cruz Warriors,012.,119,19,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Cruz,012.,120,4,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Cruz Warriors,012.,120,13,2,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0
Warriors,012.,121,8,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
MIAMI,017.,0,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Former,017.,2,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chip,017.,5,4,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0
Chip Bowers,017.,5,11,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1
Bowers,017.,6,6,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0
Miami,017.,17,5,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0
Miami Marlins,017.,17,13,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
Marlins,017.,18,7,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0
CEO,017.,27,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
CEO Derek,017.,27,9,2,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0
CEO Derek Jeter,017.,27,15,3,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0
CEO Derek Jeter Bowers,017.,27,22,4,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
Derek,017.,28,5,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0
Derek Jeter,017.,28,11,2,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1
Derek Jeter Bowers,017.,28,18,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1
Jeter,017.,29,5,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0
Jeter Bowers,017.,29,12,2,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0
Bowers,017.,30,6,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1
Golden,017.,42,6,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0
Golden State,017.,42,12,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0
Golden State Warriors,017.,42,21,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
State,017.,43,5,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0
State Warriors,017.,43,14,2,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0
Warriors,017.,44,8,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
Bowers,017.,61,6,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
Orlando,017.,73,7,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0
Orlando Magic,017.,73,13,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
Magic,017.,74,5,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
Major,017.,83,5,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0
Major League,017.,83,12,2,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0
Major League Baseball,017.,83,21,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
League,017.,84,6,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
League Baseball,017.,84,15,2,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0
Baseball,017.,85,8,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0
San,017.,88,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
San Diego,017.,88,9,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
San Diego Padres,017.,88,16,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Diego,017.,89,5,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Diego Padres,017.,89,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Padres,017.,90,6,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Seattle,017.,98,7,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0
Seattle SuperSonics,017.,98,19,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
SuperSonics,017.,99,11,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0
Marlins,017.,104,7,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0
National,017.,110,8,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0
National League,017.,110,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
League,017.,111,6,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
Matthew,021.,0,7,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0
Matthew Dellavedova,021.,0,19,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
Dellavedova,021.,1,11,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
Russell,021.,8,7,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0
Milwaukee,021.,14,9,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
Milwaukee Bucks,021.,14,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Bucks,021.,15,5,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Matthew,021.,17,7,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0
Matthew Dellavedova,021.,17,19,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
Dellavedova,021.,18,11,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
Tuesday,021.,36,7,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0
Sunday,021.,44,6,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
Brooklyn,021.,47,8,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0
Brooklyn Nets,021.,47,13,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
Nets,021.,48,4,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
An,021.,65,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
An MRI,021.,65,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRI,021.,66,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,021.,68,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
Grade,021.,75,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dellavedova,021.,80,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
Bucks,021.,103,5,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0
Eastern,021.,110,7,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Eastern Conference,021.,110,18,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Conference,021.,111,10,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0
They,021.,113,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Last,021.,122,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bucks,021.,125,5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
Malcolm,021.,129,7,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0
Malcolm Brogdon,021.,129,15,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
Brogdon,021.,130,7,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
Marco,025.,0,5,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0
Marco Belinelli,025.,0,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1
Belinelli,025.,1,9,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0
Philadelphia,025.,8,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Sixers,025.,15,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Belinelli,025.,26,9,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
As,025.,41,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sixers,025.,56,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Belinelli,025.,58,9,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1
Belinelli,025.,69,9,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1
Philadelphia,025.,75,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Saturday,025.,79,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Belinelli,025.,81,9,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
Monday,025.,93,6,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
Atlanta,025.,106,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
Atlanta Hawks,025.,106,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
Hawks,025.,107,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
Belinelli,025.,113,11,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Free,025.,118,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,025.,128,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
Belinelli,025.,136,9,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1
Hawks,025.,142,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Jerami,027.,0,6,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0
Jerami Grant,027.,0,12,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
Grant,027.,1,5,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0
Draymond,027.,4,8,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0
Draymond Green,027.,4,14,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1
Green,027.,5,5,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0
Warriors,027.,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Green,027.,14,5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
Lauren,027.,26,6,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1
Lauren Holtkamp,027.,26,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Holtkamp,027.,27,8,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
Golden,027.,33,6,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0
Golden State,027.,33,12,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0
State,027.,34,5,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0
Draymond,027.,36,8,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0
Draymond Green,027.,36,14,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1
Green,027.,37,5,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0
Thursday,027.,39,8,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Oklahoma,027.,53,8,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0
Oklahoma City,027.,53,13,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0
City,027.,54,4,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0
Jerami,027.,56,6,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0
Jerami Grant,027.,56,12,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1
Grant,027.,57,5,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0
